iter	Passed	Remaining
402	9972	64267
403	9993	64212
404	10021	64213
405	10042	64160
406	10047	64010
407	10077	64020
408	10107	64027
409	10127	63979
410	10142	63888
411	10163	63840
412	10208	63943
413	10219	63833
414	10247	63828
415	10261	63739
416	10289	63736
417	10308	63673
418	10332	63645
419	10348	63566
420	10376	63563
421	10405	63564
422	10432	63558
423	10454	63518
424	10476	63478
425	10489	63380
426	10529	63446
427	10568	63508
428	10586	63443
429	10606	63392
430	10632	63373
431	10649	63308
432	10669	63254
433	10681	63154
434	10716	63191
435	10770	63338
436	10792	63296
437	10824	63317
438	10841	63247
439	10863	63203
440	10873	63094
441	10888	63012
442	10912	62987
443	10964	63121
444	10979	63038
445	11012	63062
446	11033	63016
447	11041	62895
448	11048	62774
449	11056	62651
450	11063	62528
451	11068	62393
452	11075	62271
453	11080	62141
454	11087	62017
455	11093	61889
456	11117	61865
457	11129	61771
458	11139	61665
459	11152	61579
460	11159	61460
461	11166	61342
462	11174	61227
463	11178	61098
464	11186	60984
465	11196	60882
466	11202	60764
467	11212	60660
468	11217	60534
469	11225	60424
470	11231	60307
471	11240	60202
472	11252	60115
473	11257	59993
474	11266	59890
475	11271	59767
476	11283	59680
477	11289	59566
478	11297	59460
479	11303	59345
480	11308	59221
481	11315	59114
482	11322	59001
483	11332	58912
484	11338	58797
485	11346	58695
486	11351	58573
487	11369	58526
488	11379	58435
489	11389	58341
490	11407	58291
491	11416	58194
492	11423	58090
493	11431	57988
494	11439	57891
495	11450	57807
496	11458	57708
497	11464	57600
498	11467	57476
499	11478	57393
500	11485	57290
501	11493	57191
502	11499	57087
503	11505	56979
504	11514	56887
505	11523	56796
506	11531	56700
507	11536	56591
508	11543	56493
509	11545	56367
510	11551	56265
511	11576	56253
512	11584	56158
513	11596	56089
514	11605	56001
515	11608	55880
516	11615	55788
517	11623	55691
518	11631	55601
519	11642	55527
520	11645	55411
521	11653	55319
522	11660	55227
523	11673	55161
524	11680	55065
525	11687	54970
526	11694	54876
527	11700	54778
528	11707	54684
529	11713	54589
530	11723	54511
531	11730	54416
532	11737	54328
533	11742	54228
534	11755	54163
535	11761	54068
536	11769	53982
537	11776	53891
538	11792	53842
539	11804	53774
540	11810	53684
541	11819	53604
542	11826	53511
543	11837	53444
544	11845	53360
545	11853	53277
546	11869	53227
547	11878	53147
548	11886	53068
549	11895	52991
550	11904	52913
551	11915	52844
552	11923	52762
553	11933	52689
554	11940	52603
555	11957	52559
556	11970	52501
557	11987	52461
558	12035	52556
559	12103	52736
560	12118	52685
561	12129	52616
562	12139	52545
563	12155	52501
564	12167	52440
565	12184	52399
566	12198	52342
567	12207	52270
568	12249	52333
569	12275	52331
570	12282	52249
571	12297	52201
572	12320	52182
573	12330	52115
574	12343	52058
575	12351	51979
576	12361	51909
577	12377	51865
578	12385	51788
579	12406	51766
580	12431	51759
581	12450	51726
582	12475	51721
583	12494	51689
584	12505	51625
585	12516	51560
586	12523	51479
587	12533	51413
588	12544	51349
589	12552	51273
590	12562	51205
591	12567	51119
592	12577	51052
593	12582	50967
594	12589	50888
595	12631	50950
596	12729	51238
597	12742	51182
598	12750	51110
599	12757	51030
600	12763	50949
601	12769	50865
602	12776	50788
603	12780	50700
604	12786	50618
605	12793	50541
606	12800	50463
607	12805	50380
608	12812	50305
609	12818	50224
610	12825	50147
611	12831	50067
612	12839	49995
613	12848	49928
614	12861	49876
615	12871	49815
616	12948	50008
617	12972	50001
618	13012	50053
619	13033	50033
620	13050	49997
621	13061	49935
622	13086	49930
623	13136	50021
624	13195	50143
625	13208	50090
626	13221	50039
627	13228	49965
628	13239	49905
629	13258	49878
630	13269	49816
631	13281	49764
632	13295	49717
633	13305	49654
634	13315	49593
635	13329	49546
636	13341	49492
637	13353	49436
638	13364	49378
639	13366	49288
640	13513	49730
641	13574	49858
642	13606	49877
643	13641	49906
644	13649	49836
645	13657	49767
646	13707	49852
647	13775	49999
